Orf,Beyer_Phi,SEMPPR_Mean_Phi,Ingolia_Phi
YDL029W,0.314228823,0.051767935,3.834421059
YDL030W,0.007163376,0.013009618,0.11841445
YDL031W,0.095673319,0.011932299,0.40382143
YDL033C,0.01019076,0.020442738,0.008779967
YDL035C,0.013122619,0.003698329,0.034722538
YDL036C,0.02242966,0.01500669,0.064065193
YDL037C,0.006375878,0.120259441,NA
YDL039C,0.030643022,0.02339118,NA
YDL040C,0.106092126,0.011050046,0.645515239
YDL042C,0.041177597,0.018404429,0.045224535
YDL043C,0.020902051,0.043514794,0.688414632
YDL044C,0.010924054,0.018245648,0.103652173
YDL045C,0.023978141,0.063458287,0.072635278
YDL045W-A,0.10728658,0.139797206,0.751058517
YDL046W,0.148147246,0.208421838,1.23761134
YDL047W,0.033540938,0.032278464,0.325385489
YDL048C,0.011562618,0.02773296,NA
YDL049C,0.005653515,0.051188281,NA
YDL051W,0.214431317,0.077915941,18.28177926
YDL052C,0.144880415,0.063843588,0.334576082
YDL053C,0.085432887,0.095772322,0.73513467
YDL054C,0.035159127,0.01587534,0.033073417
YDL055C,0.893084443,0.28632897,454.8175699
YDL056W,0.008958657,0.008095671,0.0409022
YDL058W,0.009276075,0.002785233,0.072885006
YDL059C,0.008033249,0.042964902,0.039491091
YDL060W,0.16245876,0.015038981,0.560414262
YDL061C,0.909134446,3.980078619,NA
YDL064W,0.161017279,0.065320107,1.806302928
YDL065C,0.048152128,0.028964464,0.602495959
YDL066W,0.303804854,0.082094746,2.055141124
YDL067C,0.256257754,0.289914888,11.41611626
YDL069C,0.009189525,0.037349888,0.073407909
YDL070W,0.015107467,0.018673821,0.665257987
YDL072C,0.457807452,0.063266531,2.071291312
YDL074C,0.017417091,0.011575809,0.517973595
YDL075W,4.813034352,2.440890425,2191.921473
YDL076C,0.028452911,0.031218131,0.445371792
YDL077C,0.011943972,0.005362881,0.023137585
YDL078C,0.190934794,0.041334936,3.126115102
YDL079C,0.002354344,0.012221825,NA
YDL080C,0.012922542,0.009482009,0.032179962
YDL081C,4.552667753,2.541562544,2656.594172
YDL082W,2.019994894,1.294688509,NA
YDL083C,2.11677033,1.880094412,NA
YDL084W,0.337743836,0.117102134,65.65544124
